2020-11-19 20:03:35 remove libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-11-19 20:03:35 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:35 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:35 status config-files libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:35 status not-installed libsasl2-2:amd64 <none>
2020-11-19 20:03:35 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:35 remove libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-11-19 20:03:35 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:35 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:35 status config-files libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:35 status not-installed libsasl2-modules-db:amd64 <none>
2020-11-19 20:03:35 status installed libssh2-1:amd64 1.8.0-2.1
2020-11-19 20:03:35 remove libssh2-1:amd64 1.8.0-2.1 <none>
2020-11-19 20:03:35 status half-configured libssh2-1:amd64 1.8.0-2.1
2020-11-19 20:03:35 status half-installed libssh2-1:amd64 1.8.0-2.1
2020-11-19 20:03:35 status config-files libssh2-1:amd64 1.8.0-2.1
2020-11-19 20:03:35 status not-installed libssh2-1:amd64 <none>
2020-11-19 20:03:35 status installed readline-common:all 7.0-5
2020-11-19 20:03:35 remove readline-common:all 7.0-5 <none>
2020-11-19 20:03:35 status half-configured readline-common:all 7.0-5
2020-11-19 20:03:35 status half-installed readline-common:all 7.0-5
2020-11-19 20:03:35 status config-files readline-common:all 7.0-5
2020-11-19 20:03:35 startup packages configure
2020-11-19 20:03:35 trigproc libc-bin:amd64 2.28-10 <none>
2020-11-19 20:03:35 status half-configured libc-bin:amd64 2.28-10
2020-11-19 20:03:35 status installed libc-bin:amd64 2.28-10
2020-11-19 20:03:35 startup packages purge
2020-11-19 20:03:35 purge libldap-common:all 2.4.47+dfsg-3+deb10u4 <none>
2020-11-19 20:03:35 status config-files libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:35 status not-installed libldap-common:all <none>
2020-11-19 20:03:35 purge libgssapi-krb5-2:amd64 1.17-3 <none>
2020-11-19 20:03:35 status config-files libgssapi-krb5-2:amd64 1.17-3
2020-11-19 20:03:35 status not-installed libgssapi-krb5-2:amd64 <none>
2020-11-19 20:03:35 purge readline-common:all 7.0-5 <none>
2020-11-19 20:03:35 status config-files readline-common:all 7.0-5
2020-11-19 20:03:35 status not-installed readline-common:all <none>
2020-11-19 20:03:35 startup packages configure
2020-11-19 20:03:47 startup archives unpack
2020-11-19 20:03:47 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:47 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:47 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:47 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:47 status triggers-pending libc-bin:amd64 2.28-10
2020-11-19 20:03:47 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:47 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-19 20:03:47 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:47 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:47 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:47 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:47 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:48 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-19 20:03:48 install libkeyutils1:amd64 <none> 1.6-6
2020-11-19 20:03:48 status half-installed libkeyutils1:amd64 1.6-6
2020-11-19 20:03:48 status unpacked libkeyutils1:amd64 1.6-6
2020-11-19 20:03:48 install libkrb5support0:amd64 <none> 1.17-3
2020-11-19 20:03:48 status half-installed libkrb5support0:amd64 1.17-3
2020-11-19 20:03:48 status unpacked libkrb5support0:amd64 1.17-3
2020-11-19 20:03:48 install libk5crypto3:amd64 <none> 1.17-3
2020-11-19 20:03:48 status half-installed libk5crypto3:amd64 1.17-3
2020-11-19 20:03:48 status unpacked libk5crypto3:amd64 1.17-3
2020-11-19 20:03:48 install libkrb5-3:amd64 <none> 1.17-3
2020-11-19 20:03:48 status half-installed libkrb5-3:amd64 1.17-3
2020-11-19 20:03:48 status unpacked libkrb5-3:amd64 1.17-3
2020-11-19 20:03:48 install libgssapi-krb5-2:amd64 <none> 1.17-3
2020-11-19 20:03:48 status half-installed libgssapi-krb5-2:amd64 1.17-3
2020-11-19 20:03:48 status unpacked libgssapi-krb5-2:amd64 1.17-3
2020-11-19 20:03:48 install libnghttp2-14:amd64 <none> 1.36.0-2+deb10u1
2020-11-19 20:03:48 status half-installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-11-19 20:03:48 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
